Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
215,Saint Pierre Miquelon,2537,0,1,0,2449.0,0.0,87.0,1,441755,174.0,22941,3994602,5743,
216,Diamond Princess,712,0,13,0,699.0,0.0,0.0,0,0,0.0,0,0,0,
217,Wallis and Futuna,454,0,7,0,438.0,0.0,9.0,0,41705,643.0,20508,1883888,10886,Oceania
218,Montserrat,177,0,2,0,174.0,0.0,1.0,0,35421,400.0,9587,1918551,4997,North America
219,Falkland Islands,128,0,0,0,,,,0,34954,0.0,8632,2357182,3662,South America
220,Macao,82,0,0,0,82.0,0.0,0.0,0,123,0.0,5375,8080,665215,Asia
221,Vatican City,29,0,0,0,29.0,0.0,0.0,0,36025,0.0,0,0,805,
222,Marshall Islands,15,0,0,0,7.0,0.0,8.0,0,250,0.0,0,0,59907,Oceania
223,Western Sahara,10,0,1,0,9.0,0.0,0.0,0,16,2.0,0,0,623675,
224,MS Zaandam,9,0,2,0,7.0,0.0,0.0,0,0,0.0,0,0,0,
225,Niue,7,0,0,0,7.0,0.0,0.0,0,4253,0.0,0,0,1646,Oceania
226,Nauru,3,0,0,0,3.0,0.0,0.0,0,274,0.0,0,0,10946,Oceania
227,Saint Helena,2,0,0,0,2.0,0.0,0.0,0,327,0.0,0,0,6109,
228,Micronesia,1,0,0,0,1.0,0.0,0.0,0,9,0.0,0,0,117186,Oceania
